GMSL,Year
84.65,2005
84.95,2005
82.73,2006
83.27,2006
84.98,2006
85.9,2006
85.76,2006
87.76,2006
87.94,2006
89.35,2006
89.19,2006
86.41,2006
87.0,2006
86.64,2006
84.69,2006
83.91,2006
83.9,2006
83.79,2006
83.98,2006
82.24,2006
81.95,2006
82.59,2006
81.89,2006
83.3,2006
86.05,2006
86.17,2006
89.09,2006
88.49,2006
89.18,2006
89.11,2006
90.04,2006
89.15,2006
90.2,2006
89.49,2006
87.61,2006
87.89,2006
86.47,2006
83.7,2006
82.69,2007
83.7,2007
86.03,2007
86.89,2007
85.82,2007
88.15,2007
90.13,2007
89.94,2007
88.28,2007
89.12,2007
86.51,2007
84.98,2007
85.19,2007
85.22,2007
83.35,2007
83.07,2007
81.96,2007
83.99,2007
84.66,2007
82.16,2007
81.21,2007
83.11,2007
82.8,2007
82.64,2007
84.63,2007
86.17,2007
88.2,2007
88.27,2007
88.25,2007
87.3,2007
85.89,2007
85.74,2007
85.08,2007
83.8,2007
82.56,2007
81.73,2007
85.62,2007
85.64,2008
85.54,2008
86.08,2008
89.45,2008
90.89,2008
90.98,2008
91.37,2008
89.92,2008
90.21,2008
89.57,2008
89.42,2008
88.73,2008
87.57,2008
85.02,2008
85.59,2008
85.19,2008
82.61,2008
83.2,2008
82.82,2008
83.78,2008
85.75,2008
85.31,2008
85.67,2008
86.3,2008
87.03,2008
88.21,2008
87.92,2008
85.64,2008
87.24,2008
87.22,2008
85.73,2008
86.53,2008
87.23,2008
86.85,2008
85.95,2008
84.04,2008
86.26,2009
86.06,2009
85.2,2009
84.99,2009
85.93,2009
86.06,2009
86.63,2009
86.57,2009
85.9,2009
86.27,2009
86.66,2009
85.42,2009
84.39,2009
85.1,2009
83.55,2009
82.3,2009
82.23,2009
80.5,2009
78.71,2009
79.88,2009
80.54,2009
82.11,2009
83.32,2009
85.54,2009
85.83,2009
86.69,2009
87.76,2009
88.45,2009
87.66,2009
87.01,2009
88.37,2009
91.17,2009
88.86,2009
90.26,2009
89.48,2009
87.64,2009
89.16,2009
88.55,2010
87.33,2010
86.0,2010
86.04,2010
87.92,2010
88.65,2010
90.5,2010
87.55,2010
86.71,2010
87.79,2010
86.17,2010
85.05,2010
85.12,2010
85.4,2010
85.22,2010
83.76,2010
86.01,2010
85.65,2010
84.42,2010
83.6,2010
82.87,2010
83.26,2010
86.16,2010
86.86,2010
87.89,2010
89.54,2010
90.88,2010
90.39,2010
92.52,2010
92.75,2010
92.79,2010
92.88,2010
89.99,2010
90.85,2010
90.95,2010
89.7,2010
92.02,2010
92.2,2011
94.3,2011
93.24,2011
92.0,2011
91.88,2011
92.16,2011
93.03,2011
92.92,2011
93.86,2011
93.23,2011
93.29,2011
92.85,2011
90.01,2011
88.28,2011
86.06,2011
85.82,2011
83.86,2011
83.93,2011
83.15,2011
81.63,2011
82.5,2011
84.08,2011
84.91,2011
87.28,2011
88.41,2011
90.42,2011
89.26,2011
89.87,2011
90.38,2011
91.82,2011
91.09,2011
90.37,2011
87.34,2011
88.11,2011
86.14,2011
86.26,2011
87.68,2011
84.36,2012
83.88,2012
86.0,2012
86.22,2012
88.02,2012
88.06,2012
89.58,2012
90.93,2012
89.42,2012
90.11,2012
89.24,2012
89.73,2012
89.64,2012
88.01,2012
85.14,2012
85.56,2012
85.68,2012
84.8,2012
84.64,2012
85.46,2012
86.45,2012
87.59,2012
88.56,2012
89.09,2012
90.24,2012
88.59,2012
89.61,2012
91.6,2012
89.9,2012
88.91,2012
88.36,2012
87.26,2012
86.27,2012
84.91,2012
84.91,2012
85.52,2012
85.78,2012
84.82,2013
86.71,2013
86.32,2013
85.21,2013
85.99,2013
88.55,2013
89.62,2013
90.06,2013
87.83,2013
90.7,2013
88.35,2013
91.06,2013
92.21,2013
90.72,2013
89.57,2013
88.11,2013
86.16,2013
84.56,2013
84.81,2013
84.38,2013
86.11,2013
85.31,2013
86.09,2013
86.13,2013
85.85,2013
87.78,2013
89.99,2013
91.65,2013
90.78,2013
89.77,2013
90.74,2013
88.02,2013
87.47,2013
87.55,2013
85.76,2013
86.97,2013
86.05,2013
85.52,2014
85.88,2014
87.41,2014
87.68,2014
88.3,2014
90.21,2014
89.24,2014
89.66,2014
88.79,2014
87.09,2014
86.6,2014
87.45,2014
86.6,2014
87.22,2014
86.06,2014
85.82,2014
83.64,2014
83.72,2014
83.48,2014
84.05,2014
85.54,2014
87.02,2014
87.79,2014
88.9,2014
90.28,2014
92.75,2014
91.69,2014
91.6,2014
93.58,2014
92.17,2014
92.72,2014
93.12,2014
90.87,2014
88.91,2014
91.73,2014
90.27,2014
88.92,2015
90.52,2015
88.82,2015
91.44,2015
92.57,2015
93.36,2015
91.41,2015
93.31,2015
94.59,2015
94.76,2015
95.04,2015
95.22,2015
93.7,2015
93.85,2015
94.21,2015
95.36,2015
95.99,2015
95.48,2015
96.92,2015
97.78,2015
97.56,2015
101.76,2015
101.54,2016
101.66,2016
102.8,2016
102.98,2016
103.03,2016
102.11,2016
101.07,2016
98.47,2016
98.17,2016
97.46,2016
97.47,2016
98.8,2016
97.6,2016
97.27,2016
96.77,2016
94.34,2016
93.28,2016
93.53,2016
93.55,2016
94.48,2016
95.93,2016
95.96,2016
95.05,2016
95.13,2016
96.3,2016
97.09,2016
95.91,2016
96.83,2016
95.63,2016
95.08,2016
91.38,2016
90.04,2016
89.49,2016
87.24,2017
88.36,2017
87.91,2017
87.36,2017
90.07,2017
88.39,2017
90.15,2017
92.77,2017
94.69,2017
94.12,2017
92.26,2017
92.45,2017
90.3,2017
88.81,2017
87.59,2017
90.13,2017
89.4,2017
88.39,2017
89.22,2017
88.93,2017
89.33,2017
92.28,2017
91.87,2017
93.94,2017
94.59,2017
96.16,2017
96.92,2017
95.89,2017
98.01,2017
99.31,2017
99.04,2017
97.01,2017
95.39,2017
97.55,2017
97.48,2017
96.54,2017
92.97,2017
91.86,2018
90.92,2018
91.85,2018
94.98,2018
93.98,2018
91.87,2018
93.9,2018
94.17,2018
92.05,2018
91.24,2018
91.33,2018
90.25,2018
89.05,2018
88.63,2018
87.6,2018
89.03,2018
88.67,2018
87.43,2018
87.32,2018
90.76,2018
93.25,2018
93.42,2018
97.0,2018
96.05,2018
97.17,2018
102.89,2018
101.59,2018
101.97,2018
99.43,2018
97.68,2018
95.59,2018
95.95,2019
97.01,2019
96.2,2019
97.69,2019
96.08,2019
98.99,2019
97.7,2019
99.36,2019
97.86,2019
102.16,2019
95.21,2019
97.82,2019
97.75,2019
95.2,2019
93.6,2019
93.9,2019
93.86,2019
93.95,2019
94.23,2019
97.02,2019
97.68,2019
97.09,2019
98.78,2019
101.96,2019
100.1,2019
98.39,2020
97.91,2020
