#title = mean sea level anomaly global ocean (66S to 66N) (Annual signals removed) ,,,,
#institution = NOAA/Laboratory for Satellite Altimetry ,,,,
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) ,,,,
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' ,,
#trend = 2.94 mm/year (no glacial isostatic adjustment correction) ,,,,
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1999.2577,-4.45,,,
1999.2848,-1.76,,,
1999.3392,-4.02,,,
1999.3663,-9.12,,,
1999.3933,-11.24,,,
1999.4206,-5.13,,,
1999.4478,-6.09,,,
1999.4749,-1.86,,,
1999.502,0.48,,,
1999.5292,-4.89,,,
1999.5566,-7.18,,,
1999.5834,-2.24,,,
1999.6106,-2.65,,,
1999.6377,0.8,,,
1999.692,-7.33,,,
1999.7192,-4.49,,,
1999.7462,-4.15,,,
1999.7735,3.54,,,
1999.8008,2.55,,,
1999.8278,-2.71,,,
1999.855,-8.86,,,
1999.8822,-8.44,,,
1999.9092,-4.34,,,
1999.9636,4.56,,,
1999.9907,4.04,,,
2000.0178,-3.48,,,
2000.045,-2.47,,,
2000.0721,5.02,,,
2000.0993,3,,,
2000.1264,1.15,,,
2000.1536,-1.57,,,
2000.1807,-6.12,,,
2000.2078,-6.34,,,
2000.235,2.14,,,
2000.2894,1.08,,,
2000.3165,-4.53,,,
2000.3436,-8.56,,,
2000.3707,-7.56,,,
2000.3978,-3.28,,,
2000.425,1.5,,,
2000.4522,0.52,,,
2000.4794,-2.7,,,
2000.5065,-4.71,,,
2000.5337,-1.93,,,
2000.5879,-0.08,,,
2000.6149,0.49,,,
2000.6423,-2.49,,,
2000.6694,-9.58,,,
2000.6965,-6.59,,,
2000.7235,1.81,,,
2000.7509,5.88,,,
2000.778,4.25,,,
2000.8051,-3.38,,,
2000.8595,-2.85,,,
2000.886,0.9,,,
2000.9145,3.81,,,
2000.9409,2.5,,,
2000.9681,-0.11,,,
2000.9952,0.96,,,
2001.0222,2.21,,,
2001.0766,5.65,,,
2001.1038,2.78,,,
2001.1309,-3.69,,,
2001.1581,-2.54,,,
2001.1852,3.59,,,
2001.2124,2.57,,,
2001.2395,6.46,,,
2001.2666,3.9,,,
2001.2937,0.82,,,
2001.321,-2.97,,,
2001.3482,-0.79,,,
2001.3752,5.11,,,
2001.4024,5.38,,,
2001.4296,4.04,,,
2001.4567,-0.88,,,
2001.484,4.45,,,
2001.511,6.9,,,
2001.5381,11.02,,,
2001.5653,7.54,,,
2001.5924,8.18,,,
2001.6195,0.32,,,
2001.6468,-1.67,,,
2001.6738,2.15,,,
2001.701,10.86,,,
2001.7283,10.49,,,
2001.7553,7.64,,,
2001.7825,-0.24,,,
2001.8096,-4.19,,,
2001.8368,3.59,,,
2001.8639,9.07,,,
2001.8918,8.03,,,
2001.9182,5.58,,,
2001.9454,0.72,,,
2001.9725,1.02,,,
2001.9996,9.07,,,
2002.027,7.02,,,
2002.0537,,0.46,,
2002.054,6.05,,,
2002.0811,5.47,,,
2002.0819,,7.18,,
2002.1083,0.77,8.66,,
2002.1352,,9.47,,
2002.1354,2.66,,,
2002.1626,7.49,8.62,,
2002.1897,8.11,,,
2002.1898,,2.81,,
2002.2168,8.39,,,
2002.2169,,4.58,,
2002.2438,,3.37,,
2002.244,2.78,,,
2002.2711,0.93,,,
2002.2713,,8.21,,
2002.2983,,3.94,,
2002.2988,-2.63,,,
2002.3254,4.19,4.75,,
2002.3525,,4.46,,
2002.3527,8.17,,,
2002.3797,8.27,6.34,,
2002.4069,6.33,5.47,,
2002.434,-0.24,2.91,,
2002.4611,4.31,6.31,,
2002.4883,14.1,8.84,,
2002.5155,,6.56,,
2002.5426,10.46,8.76,,
2002.5697,7.33,10.94,,
2002.5969,5.73,11.12,,
2002.6239,7.85,,,
2002.624,,11.56,,
2002.6512,,8.3,,
2002.6551,11.31,,,
2002.6783,11.47,,,
2002.6784,,6.04,,
2002.7055,,5.86,,
2002.7064,10.67,,,
2002.7326,7.7,,,
2002.7327,,8.35,,
2002.7598,,6.47,,
2002.7599,-0.71,,,
2002.7863,7.4,,,
2002.7869,,10.11,,
2002.8141,,12.79,,
2002.8143,15.31,,,
2002.8413,,5.14,,
2002.8415,12.47,,,
2002.8684,11.81,5.74,,
2002.8943,,9.73,,
2002.8962,11.9,,,
2002.9227,12.29,8.98,,
2002.9498,13.45,9.27,,
2002.977,14.15,7.29,,
2003.0041,,6.94,,
2003.0042,15.49,,,
2003.0312,12.19,,,
2003.0313,,7.05,,
2003.0584,13.1,12.16,,
2003.0856,8.59,12.31,,
2003.1127,13.84,14.79,,
2003.1398,11.4,,,
2003.1399,,9.48,,
2003.167,15.51,,,
2003.1671,,7.69,,
2003.1942,15.42,9.76,,
2003.2212,9.7,,,
2003.2213,,10.92,,
2003.2484,10,,,
2003.2485,,9.8,,
2003.2756,10.36,,,
2003.2799,,9.85,,
2003.3028,13.82,7.55,,
2003.3299,16.95,,,
2003.33,,8.47,,
2003.357,18.34,9.97,,
2003.3842,13.84,10.35,,
2003.4113,,10.27,,
2003.4114,9.88,,,
2003.4385,12.49,7.49,,
2003.4657,17.19,8.36,,
2003.4928,15.24,6.06,,
2003.52,11.27,6.74,,
2003.547,11.5,,,
2003.5471,,10.6,,
2003.5741,5.62,,,
2003.5742,,9.05,,
2003.6014,12.08,10.3,,
2003.6286,12.66,7.31,,
2003.6556,16.38,,,
2003.6557,,10.06,,
2003.6827,14.71,,,
2003.6829,,11.6,,
2003.71,5.18,11.75,,
2003.7371,,11.47,,
2003.7372,6.1,,,
2003.7642,10.07,,,
2003.7643,,13.54,,
2003.7914,13.33,11.43,,
2003.8186,,10.97,,
2003.8187,16.63,,,
2003.8457,16.84,10.18,,
2003.8708,,9,,
2003.8728,7.24,,,
2003.9,9.06,,,
2003.9112,,6.52,,
2003.9271,13.71,,,
2003.9272,,11.46,,
